year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,1,ALABAMA,All,All,"10,000+",269
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,2,ALASKA,All,All,"10,000+",240
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,4,ARIZONA,All,All,"10,000+",267
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,5,ARKANSAS,All,All,"10,000+",281
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,6,CALIFORNIA,All,All,"10,000+",292
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,8,COLORADO,All,All,"10,000+",242
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,9,CONNECTICUT,All,All,"10,000+",305
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,10,DELAWARE,All,All,"10,000+",325
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,11,DISTRICT OF COLUMBIA,All,All,"5,000-9,999",435
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,12,FLORIDA,All,All,"10,000+",367
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,13,GEORGIA,All,All,"10,000+",301
