Availability,Colors,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
InStock,"Black,Blue,White,Yellow,Grey",Home/Bags for her,"Mini chain bag in red calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002357,72.500,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-mini-panthere-de-cartier_cod1647597286075043.html,Czech Republic,Bag
InStock,"Green,Red,Black",Home/Bags for her,"Mini model handle bag in pale pink calfskin, palladium and black enamel-finish clasp, silver embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002328,67.500,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707066.html,Czech Republic,Bag
InStock,,Home/Bags for her,"Mini handle bag in grey calfskin, golden and black enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002376,67.500,"Handle bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/handle-bag-mini-panthere-de-cartier_cod1647597286075073.html,Czech Republic,Bag
InStock,"Pink,Red,Black",Home/Bags for her,"Mini model handle bag in dark green calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002327,67.500,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707063.html,Czech Republic,Bag
InStock,"Black,Red",Home/Bags for her,"Small handle bag in dark green calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002330,77.500,"Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/top-handle-bag-small-model-panthere-de-cartier_cod29419655932707069.html,Czech Republic,Bag
InStock,,Home/Bags for her,"Mini handle bag in navy blue calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002374,67.500,"Handle bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/handle-bag-mini-panthere-de-cartier_cod1647597286075067.html,Czech Republic,Bag
InStock,Blue,Home/Bags for her,"Small handle bag in grey calfskin, golden and black enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002375,77.500,"Small model handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/small-model-handle-bag-panthere-de-cartier_cod1647597286075070.html,Czech Republic,Bag
InStock,Grey,Home/Bags for her,"Small handle bag in navy blue calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002373,77.500,"Small model handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/small-model-handle-bag-panthere-de-cartier_cod1647597286075064.html,Czech Republic,Bag
InStock,"Green,Red,Pink",Home/Bags for her,"Mini model handle bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002325,67.500,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707057.html,Czech Republic,Bag
InStock,"Green,Pink,Black",Home/Bags for her,"Mini model handle bag in cherry red calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002326,67.500,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707060.html,Czech Republic,Bag
InStock,"Green,Black",Home/Bags for her,"Small handle bag in cherry red calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002324,77.500,"Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/top-handle-bag-small-model-panthere-de-cartier_cod29419655932707054.html,Czech Republic,Bag
InStock,"Green,Red",Home/Bags for her,"Small handle bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,Kč,L1002323,77.500,"Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/top-handle-bag-small-model-panthere-de-cartier_cod29419655932707051.html,Czech Republic,Bag
InStock,"Black,Blue,Red,White,Grey",Home/Bags for her,"Mini chain bag in pale yellow calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002362,72.500,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-mini-panthere-de-cartier_cod1647597286075058.html,Czech Republic,Bag
InStock,"Black,Blue,Red,White",Home/Bags for her,"Small chain bag in beige calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002389,80.000,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-small-panthere-de-cartier_cod1647597286075082.html,Czech Republic,Bag
InStock,"Black,Blue,Red,White,Yellow",Home/Bags for her,"Mini chain bag in beige calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002390,72.500,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-mini-panthere-de-cartier_cod1647597286075085.html,Czech Republic,Bag
InStock,"Black,Blue,Red,Grey",Home/Bags for her,"Small chain bag in cream white calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002358,80.000,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-small-panthere-de-cartier_cod1647597286075046.html,Czech Republic,Bag
InStock,"Blue,Red,Black,Yellow,Grey",Home/Bags for her,"Mini chain bag in cream white calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002359,72.500,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-mini-panthere-de-cartier_cod1647597286075049.html,Czech Republic,Bag
InStock,"Black,Blue,Red,White,Grey",Home/Bags for her,"Small chain bag in petrol blue calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002360,80.000,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-small-panthere-de-cartier_cod1647597286075052.html,Czech Republic,Bag
InStock,"Black,Blue,Red,White,Yellow,Grey",Home/Bags for her,"Mini chain bag in petrol blue calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002361,72.500,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-mini-panthere-de-cartier_cod1647597286075055.html,Czech Republic,Bag
InStock,"Black,Red,White,Blue,Grey",Home/Bags for her,"Small chain bag in navy blue calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002354,80.000,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-small-panthere-de-cartier_cod1647597286075034.html,Czech Republic,Bag
InStock,"Blue,Red,White,Grey",Home/Bags for her,"Small chain bag in black calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002352,80.000,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-small-panthere-de-cartier_cod1647597286075028.html,Czech Republic,Bag
InStock,Grey,Home/Bags for her,"Mini shoulder bag in pale pink calfskin, golden and pale pink enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 160 mm high x 190 mm wide x 70 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002364,61.000,"Mini model shoulder bag, Double C de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/mini-model-shoulder-bag-double-c-de-cartier_cod1647597286075061.html,Czech Republic,Bag
InStock,"Black,Red,White,Blue,Yellow,Grey",Home/Bags for her,"Mini chain bag in navy blue calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,Kč,L1002355,72.500,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:10:13.797618,https://www.cartier.com,https://www.cartier.com/en-cz/chain-bag-mini-panthere-de-cartier_cod1647597286075037.html,Czech Republic,Bag
