Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
OutOfStock,,,Home/Art of Living/Personal accessories/Wallets & Pouches,"Wallet bag in red calfskin, golden garland motif. Interior: one zipped compartment, 3 flat pockets, 6 credit card slots, a signature pocket with removable mirror, and golden hot stamped “Cartier” signature. Lining: black calfskin. Dimensions: 190 mm high x 120 mm long x 35 mm deep. Shoulder carry with a detachable chain strap.",,aeid5482,THB,CRL1002220,44100.00,"Wallet Bag, Guirlande de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/personal-accessories/wallets-%26-pouches/wallet-bag-guirlande-de-cartier-CRL1002220.html?lang=en_TH,Thailand,Personal accessories
OutOfStock,,,Home/Art of Living/Bags/Bags for Her,"Must de Cartier carnassiere bag, nano model, in burgundy calfskin, signature Cartier medallion. Interior: One signature pocket with removable mirror, one flat pocket with flap. Lining in burgundy lambskin. Dimensions: 190 mm high x 150 mm long x 52 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,THB,CRL1002241,40800.00,"Carnassière nano model, Must de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/bags/bags-for-her/carnassiere-nano-model-must-de-cartier-CRL1002241.html?lang=en_TH,Thailand,Bags
OutOfStock,,,Home/Art of Living/Bags/Bags for Him,"Portfolio in black calfskin with detachable wrist strap. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, flat pocket closed with press stud. Interior: burgundy fabric lining, one flat pocket, one zipped pocket. Embossed silver Cartier marking. Dimensions: 260 mm high x 345 mm wide x 20 mm deep. Hand carry.",,aeid5482,THB,CRL1002264,40800.00,"Portfolio,  Must de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/bags/bags-for-him/portfolio--must-de-cartier-CRL1002264.html?lang=en_TH,Thailand,Bags
OutOfStock,,,Home/Art of Living/Personal accessories/Wallets & Pouches,"Pouch in black calfskin, Must de Cartier. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, one zipped pocket, detachable handle. Interior: black fabric lining, one flat pocket, 8-credit card slots. Embossed silver-colored Cartier signature. Dimensions: 160 mm high x 250 mm wide x 50 mm deep. Hand and wrist carry with detachable handle.",,aeid5482,THB,CRL1002261,40800.00,"Square Pouch, Must de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/personal-accessories/wallets-%26-pouches/square-pouch-must-de-cartier-CRL1002261.html?lang=en_TH,Thailand,Personal accessories
OutOfStock,,,Home/Art of Living/Personal accessories/Wallets & Pouches,"Must de Cartier navy blue calfskin document holder, large model. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, one zipped pocket, detachable handle. Interior: black fabric lining, one zipped pocket, one flat pocket with embossed silver-colored Cartier signature. Dimensions: 250 mm high x 350 mm wide x 40 mm deep. Hand and wrist carry with detachable handle.",,aeid5482,THB,CRL1002271,40800.00,"GM Pouch, Must de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/personal-accessories/wallets-%26-pouches/gm-pouch-must-de-cartier-CRL1002271.html?lang=en_TH,Thailand,Personal accessories
OutOfStock,,,Home/Art of Living/Personal accessories/Wallets & Pouches,"Large document holder in black calfskin, Must de Cartier. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, one zipped pocket, detachable handle. Interior: black fabric lining, one zipped pocket, one flat pocket with embossed silver-colored Cartier signature. Dimensions: 250 mm high x 350 mm wide x 40 mm deep. Hand and wrist carry with detachable handle.",,aeid5482,THB,CRL1002260,40800.00,"GM Pouch, Must de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/personal-accessories/wallets-%26-pouches/gm-pouch-must-de-cartier-CRL1002260.html?lang=en_TH,Thailand,Personal accessories
InStock,,,Home/Art of Living/Bags/Bags for Her,"Small model chain bag in cherry red calfskin, golden and cherry red enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482,THB,CRL1002310,95000.00,"Chain bag small model, Double C de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/bags/bags-for-her/chain-bag-small-model-double-c-de-cartier-CRL1002310.html?lang=en_TH,Thailand,Bags
OutOfStock,,,Home/Art of Living/Personal accessories/Wallets & Pouches,"Must de Cartier pouch in anthracite calfskin, large model. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, one zipped pocket, detachable handle. Interior: black fabric lining, one zipped pocket, one flat pocket with embossed silver-colored ""Cartier"" signature. Dimensions: 250 mm high x 350 mm wide x 40 mm deep. Hand and wrist carry with detachable handle.",,aeid5482,THB,CRL1002315,40800.00,"Pouch large model, Must de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/personal-accessories/wallets-%26-pouches/pouch-large-model-must-de-cartier-CRL1002315.html?lang=en_TH,Thailand,Personal accessories
InStock,,,Home/Art of Living/Bags/Bags for Her,"Small model chain bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482,THB,CRL1002305,95000.00,"Chain bag  small model, Double C de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/bags/bags-for-her/chain-bag--small-model-double-c-de-cartier-CRL1002305.html?lang=en_TH,Thailand,Bags
InStock,,,Home/Art of Living/Bags/Bags for Her,"Mini Shoulder bag in black calfskin, gold and black enamel-finish clasp, golden hot stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 160 mm high x 190 mm wide x 70 mm deep. Shoulder and cross-body carry.",,aeid5482,THB,CRL1002289,80000.00,"Shoulder Bag, Mini, Double C de Cartier",aeid5482_cartier,2022-11-04 12:31:57.280848,https://www.cartier.com,https://www.cartier.com/en-th/art-of-living/bags/bags-for-her/shoulder-bag-mini-double-c-de-cartier-CRL1002289.html?lang=en_TH,Thailand,Bags
