Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Clash de Cartier ring, double-row model, rose gold 750/1000. Width: 9.2 mm.",,,£,B4237800,"3,650",Clash de Cartier ring,,,,,,
Add to bag,,,,"Maillon de Cartier watch, quartz movement. Yellow gold 750/1000 case, crown, and bracelet set with 581 brilliant-cut diamonds totalling 9.40 carats. Dimensions: 31 x 17 mm, thickness: 6.8 mm. Gold-finish steel sword-shaped hands, black lacquer dial, case edge, and chains. Water-resistant up to 3 bar (approx. 30 metres).",,,£,WJBJ0006,"117,000",Maillon de Cartier watch,,,,,,
,,,,"Maillon de Cartier watch, quartz movement. White gold 750/1000 case and crown set with 25 brilliant-cut diamonds totalling 0.61 carat. Dimensions: 31 x 17 mm, thickness: 6.8 mm. Silvered sunray-effect dial, blued-steel sword-shaped hands, white gold 750/1000 bracelet. Water-resistant up to 3 bar (approx. 30 metres).",,,£,WJBJ0003,"32,200",Maillon de Cartier watch,,,,,,
,,,,"Tank Chinoise watch, skeleton, Manufacture mechanical movement with manual winding, calibre 9627 MC.  Platinum 950/1000 case, brancards, buckle and crown set with 162 brilliant-cut diamonds (1.77 cts), polished grey steel sword-shaped hands, sapphire crystal and case back.  Two straps in blue and red alligator skin, ardillon buckle in platinum 950/1000. Hours and minutes with skeletonised bridges, covered in blue and red lacquer.  Movement consisting of 160 parts including 23 rubies.  Movement dimensions: 26.1 mm x 23.5 mm, movement thickness: 3.9 mm, balance: 21,600 vibrations/hour, power reserve approx. 36 hours.  Case dimensions: 39.5 mm x 29.16 mm, thickness: 7.7 mm. Limited edition of 20 individually numbered timepieces. Water-resistant up to 3 bar (approx. 30 metres).",,,£,HPI01507,"86,000",Tank Chinoise watch,,,,,,
,,,,"Baignoire watch, mini model, quartz movement. Case and 12-sided crown set in rhodium-finish white gold 750/1000 set with 42 brilliant-cut diamonds totalling 0.50 carats. Silvered sunray effect dial. Blued-steel sword-shaped hands. Sapphire crystal. Strap in black brushed calfskin, 9 mm ardillon buckle in rhodium-finish white gold 750/1000. Length: 25.3 mm, width: 20.79 mm, thickness: 7.73 mm. Water-resistant to 3 bar (approx. 30 metres).",,,£,WJBA0026,"17,800",Baignoire watch,,,,,,
,,,,"Coussin de Cartier watch, medium model, quartz movement. White gold 750/1000 case and dial set with 85 brilliant-cut diamonds totalling 0.38 carat, 587 sapphires, 276 tsavorites, 45 emeralds and 18 tourmalines. Case dimensions: 39.3 x 32.0 mm, thickness: 13.6 mm. Rhodium-finish white gold-finish steel sword-shaped hands, blue calfskin strap, rhodium-finish white gold 750/1000 ardillon buckle set with 21 brilliant-cut diamonds totalling 0.21 carat. Water-resistant up to 3 bar (approx. 30 metres).",,,£,WJCS0012,"68,000",Coussin de Cartier watch,,,,,,
Add to bag,,,,"La Panthère watch, 23.6 mm, quartz movement. Yellow gold 750/1000 case set with 40 brilliant-cut diamonds totalling 0.24 carat, yellow gold 750/1000 panther head, pear-shaped tsavorite eyes totalling 0.16 carat, black lacquer spots and nose, gold-tone dial, blued-steel sword-shaped hands, yellow gold 750/1000 bracelet, 750/1000 yellow-gold ardillon buckle. Thickness: 7.8 mm. Water-resistant to 3 bar (approx. 30 metres).",,,£,HPI01380,"40,500",La Panthère de Cartier watch,,,,,,
Add to bag,,,,"Panthère de Cartier watch, medium model, quartz movement. Case in yellow gold 750/1000 set with brilliant-cut diamonds, dimensions: 27 mm x 36 mm, thickness: 6 mm, crown set with a diamond, silvered dial, blued-steel sword-shaped hands, yellow gold 750/1000 bracelet, water-resistant to 3 bar (approx. 30 metres).",,,£,WJPN0016,"27,400",Panthère de Cartier watch,,,,,,
Add to bag,,,,"Pasha de Cartier watch, 30 mm, quartz movement. Rhodium-finish white gold 750/1000 case, bezel, bracelet and crown protector set with 425 brilliant-cut diamonds totalling 7.3 carats, crown set with a brilliant-cut diamond, opaline flinqué dial, blued-steel diamond-shaped hands, rhodium-finish white gold 750/1000 bracelet. Case dimensions: 30 mm, thickness: 8.22 mm. Water-resistant to 3 bar (approx. 30 metres).",,,£,WJPA0019,"114,000",Pasha de Cartier watch,,,,,,
Add to bag,,,,"Chain bracelet, yellow gold 750/1000.",,,£,B6026000,"1,150",Chain bracelet,,,,,,
Add to bag,,,,"Hand of Fatima necklace, white gold 750/1000, set with 14 brilliant-cut diamonds totalling 0.17 carats",,,£,B3153119,"2,950",Symbol necklace,,,,,,
Add to bag,,,,"Titanium C de Cartier sunglasses with grey PVD finish, palladium-finish details, pantos shape with double bridge, dark blue lenses, temples with Cartier signature. Dimensions: lenses 52 mm, bridge 22 mm, temples 145 mm.",,,£,ESW00289,740,C de Cartier Sunglasses,,,,,,
Add to bag,,,,"Tank Américaine watch, small model, quartz movement. Steel case, octagonal crown set with a synthetic blue spinel, silvered dial, blued-steel sword-shaped hands, strap in shiny navy blue alligator skin, ardillon buckle. Case dimensions: 34.80 mm x 19.00 mm, thickness: 7.09 mm. Water-resistant to 3 bar (approx. 30 metres).",,,£,WSTA0043,"3,450",Tank Américaine watch,,,,,,
,,,,"Tank Chinoise watch, mechanical movement with manual winding, calibre 430 MC.  Case in yellow gold 750/1000, yellow gold 750/1000 crown set with a sapphire, golden sunray dial, blued steel sword-shaped hands, sapphire crystal.  Strap in black alligator skin, yellow gold 750/1000 ardillon buckle.   Movement diameter: 20.5 mm, movement thickness: 2.15 mm, balance: 21,600 vibrations/hour, power reserve approx. 38 hours.  Case dimensions: 39.49 mm x 29.2 mm, thickness: 6.09 mm. Limited edition of 150 individually numbered timepieces. Water-resistant up to 3 bar (approx. 30 metres).",,,£,WGTA0088,"26,100",Tank Chinoise watch,,,,,,
,,,,"Tank Cintrée Skeleton watch, Manufacture mechanical movement with manual winding, calibre 9917 MC. Platinum case, beaded crown set with a sapphire cabochon, blued-steel sword-shaped hands. Black alligator-skin strap, white gold 750/1000 double adjustable folding buckle. Hours and Minutes. Skeletonised and curved movement following the shape of the case, the barrel and the balance are inclined so they can follow the shape of the movement. Individually numbered movement consisting of 142 parts, including 21 jewels. Movement length: 33.75 mm, movement width: 19.60 mm, movement thickness: 3.84 mm, frequency: 28,800 vibrations/hour, power reserve approx. 60 hours. Mineral crystal, sapphire case back. Case thickness: 9 mm. Not water-resistant.",,,£,WHTA0009,"68,500",Tank Cintrée watch,,,,,,
Add to bag,,,,"Tank Cintrée Skeleton watch, Manufacture mechanical movement with manual winding, calibre 9917 MC. Rose gold 750/1000 case, beaded crown set with a sapphire cabochon, blued-steel sword-shaped hands. Brown alligator-skin strap, rose gold 750/1000 double adjustable folding buckle. Hours and minutes. Skeletonised and curved movement following the shape of the case, the barrel and the balance are inclined so they can follow the shape of the movement. Individually numbered movement consisting of 142 parts, including 21 jewels. Movement length: 33.75 mm, movement width: 19.60 mm, movement thickness: 3.84 mm, frequency: 28,800 vibrations/hour, power reserve approx. 60 hours. Mineral crystal, sapphire case back. Case thickness: 9 mm. Not water-resistant.",,,£,WHTA0008,"62,000",Tank Cintrée watch,,,,,,
Add to bag,,,,"Tank Cintrée watch, Manufacture mechanical movement with manual winding, calibre 8971 MC. Case in rose gold 750/1000, beaded crown set with a sapphire cabochon, black dial, gold-finish sword-shaped hands, mineral crystal, semi-matt dark grey alligator-skin strap, 14 mm ardillon buckle in rose gold 750/1000. Case dimensions: 46.3 mm x 23 mm. Thickness: 6.9 mm. Water-resistant to 3 bar (approx. 30 metres).",,,£,WGTA0025,"19,800",Tank Cintrée watch,,,,,,
Add to bag,,,,"Tank Américaine watch, large model, mechanical movement with automatic winding. Rose gold 750/1000 case, 8-sided crown set with a sapphire, silvered flinqué dial, blued-steel sword-shaped hands, mineral crystal, alligator-skin strap, interchangeable rose gold 750/1000 folding buckle, calendar aperture at 6 o’clock. Case dimensions: 45.1 mm x 26.6 mm, thickness: 9.84 mm. Water-resistant to 3 bar (approx. 30 metres).",,,£,WGTA0047,"14,600",Tank Américaine watch,,,,,,
