Availability,Colors,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
InStock,"Black,Blue,White,Yellow,Grey",Home/Bags for her,"Mini chain bag in red calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002357,3.150,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/chain-bag-mini-panthere-de-cartier_cod1647597286075043.html,Greece,Bag
InStock,Blue,Home/Bags for her,"Small handle bag in grey calfskin, golden and black enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002375,3.350,"Small model handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/small-model-handle-bag-panthere-de-cartier_cod1647597286075070.html,Greece,Bag
InStock,,Home/Bags for her,"Mini handle bag in navy blue calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002374,2.910,"Handle bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/handle-bag-mini-panthere-de-cartier_cod1647597286075067.html,Greece,Bag
InStock,"Green,Red,Black",Home/Bags for her,"Mini model handle bag in pale pink calfskin, palladium and black enamel-finish clasp, silver embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002328,2.910,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707066.html,Greece,Bag
InStock,"Black,Red",Home/Bags for her,"Small handle bag in dark green calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002330,3.350,"Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/top-handle-bag-small-model-panthere-de-cartier_cod29419655932707069.html,Greece,Bag
InStock,"Pink,Red,Black",Home/Bags for her,"Mini model handle bag in dark green calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002327,2.910,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707063.html,Greece,Bag
InStock,,Home/Bags for her,"Mini handle bag in grey calfskin, golden and black enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002376,2.910,"Handle bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/handle-bag-mini-panthere-de-cartier_cod1647597286075073.html,Greece,Bag
InStock,Grey,Home/Bags for her,"Small handle bag in navy blue calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002373,3.350,"Small model handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/small-model-handle-bag-panthere-de-cartier_cod1647597286075064.html,Greece,Bag
InStock,"Green,Red,Pink",Home/Bags for her,"Mini model handle bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002325,2.910,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707057.html,Greece,Bag
InStock,"Green,Pink,Black",Home/Bags for her,"Mini model handle bag in cherry red calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002326,2.910,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:21:43.034108,https://www.cartier.com,https://www.cartier.com/en-gr/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707060.html,Greece,Bag
