Availability,Colors,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
InStock,Black,Home/Bags for her,"Must de Cartier tote bag in burgundy calfskin, signature Cartier medallion. Interior: Two flat pockets, one zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining in burgundy lambskin. Dimensions: 285 mm high x 310 mm long x 170 mm deep. Two handles for hand or shoulder carry.",,aeid5482,€,L1002278,"2,110","Tote Bag, Must de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/tote-bag-must-de-cartier_cod343549805672110.html,Ireland,Bag
InStock,,Home/Bags for her,"Must de Cartier hobo bag, medium model, in supple burgundy calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 300 mm high x 292 mm long x 80 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,€,L1002248,"2,360","Hobo bag medium model, Must de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/hobo-bag-medium-model-must-de-cartier_cod343549805672105.html,Ireland,Bag
InStock,Black,Home/Bags for her,"Must de Cartier hobo bag, small model, in burgundy calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 225 mm high x 220 mm long x 55 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,€,L1002250,"1,750","Hobo bag small model, Must de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/hobo-bag-small-model-must-de-cartier_cod343549805672106.html,Ireland,Bag
InStock,Black,Home/Bags for her,"Must de Cartier hobo bag, mini model, in burgundy calfskin, signature Cartier medallion. Interior: One signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 180 mm high x 175 mm long x 50 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,€,L1002256,"1,440","Hobo bag mini model, Must de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/hobo-bag-mini-model-must-de-cartier_cod343549805672109.html,Ireland,Bag
InStock,"Green,Black",Home/Bags for her,"Small handle bag in cherry red calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002324,"3,200","Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/top-handle-bag-small-model-panthere-de-cartier_cod29419655932707054.html,Ireland,Bag
InStock,"Red,Black,Green",Home/Bags for her,"Mini model shoulder bag in two-tone pink/pale pink calfskin, palladium and pale pink enamel-finish clasp, silver hot-stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 160 mm high x 190 mm wide x 70 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002363,"2,520","Mini model shoulder bag, Double C de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/mini-model-shoulder-bag-double-c-de-cartier_cod42247633208247030.html,Ireland,Bag
InStock,,Home/Bags for her,"Must de Cartier carnassiere bag, medium model, in burgundy calfskin, signature Cartier medallion. Interior: Two gusseted compartments, one zipped pocket, one signature pocket with removable mirror, one flat pocket with flap. Lining in burgundy lambskin. Dimensions: 280 mm high x 230 mm long x 110 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,€,L1002238,"2,720","Carnassiere bag, Medium, Must de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/carnassiere-bag-medium-must-de-cartier_cod343549805672080.html,Ireland,Bag
InStock,"Cherry red calfskin, gold and cherry red enamel finish,Green",Home/Bags for her,"Mini model chain bag in two-tone pink/pale pink calfskin, palladium and pale pink enamel-finish clasp, silver hot-stamped “Cartier” signature inside. One interior compartment, six credit card slots, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Removable chain. Dimensions: 120 mm high x 200 mm wide x 35 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002369,"2,620","Mini model chain bag, Double C de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/mini-model-chain-bag-double-c-de-cartier_cod42247633208247039.html,Ireland,Bag
InStock,Red,Home/Bags for her,"Nano model shoulder bag in black calfskin, gold and black enamel-finish clasp, golden hot stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 130 mm high x 170 mm wide x 60 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002295,"2,160","Shoulder Bag, Nano, Double C de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/shoulder-bag-nano-double-c-de-cartier_cod11452292647222290.html,Ireland,Bag
InStock,"Green,Cherry red calfskin, gold and cherry red enamel finish",Home/Bags for her,"Small model chain bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002305,"2,980","Chain bag  small model, Double C de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/chain-bag-small-model-double-c-de-cartier_cod20346390236443569.html,Ireland,Bag
InStock,"Green,Pink,Red",Home/Bags for her,"Mini model shoulder bag in black calfskin, gold and black enamel-finish clasp, golden hot stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 160 mm high x 190 mm wide x 70 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002289,"2,520","Shoulder Bag, Mini, Double C de Cartier",aeid5482_cartier,2022-11-04 14:24:00.612559,https://www.cartier.com,https://www.cartier.com/en-ie/shoulder-bag-mini-double-c-de-cartier_cod11452292647222286.html,Ireland,Bag
