Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Aggiungi alla Shopping Bag,,,,"Bracciale Clash de Cartier, oro rosa 750/1000, ornato di 51 diamanti taglio brillante (1,51 carati). Larghezza 6,8 mm (per la misura 17).",,,,N6715017,,Bracciale Clash de Cartier Diamanti,,,,https://www.cartier.com/it-ch/bracciale-clash-de-cartier-diamanti_cod25458910981438689.html,,
,,,,"Orologio Maillon de Cartier, movimento a quarzo. Cassa, corona e bracciale in oro giallo 750/1000 ornati di 581 diamanti taglio brillante (9,40 carati). Dimensioni 31 x 17 mm, spessore 6,8 mm. Lancette a forma di gladio d’acciaio finitura dorata, quadrante, lato della cassa e parte delle maglie in lacca nera. Impermeabile fino a 30 metri.",,,CHF,WJBJ0006,122.000,Orologio Maillon de Cartier,,,,https://www.cartier.com/it-ch/orologio-maillon-de-cartier_cod25372685655503481.html,,
,,,,"Orologio Maillon de Cartier, movimento a quarzo. Cassa, corona, bracciale e quadrante in oro bianco 750/1000 ornati di 301 diamanti taglio brillante (4,85 carati), bracciale ornato di 96 granati tsavorite. Dimensioni 31 x 17 mm, spessore 6,8 mm. Lancette a forma di gladio d’acciaio azzurrato, quadrante e maglie laccati verde e blu. Impermeabile fino a 30 metri.",,,CHF,WJBJ0008,116.000,Orologio Maillon de Cartier,,,,https://www.cartier.com/it-ch/orologio-maillon-de-cartier_cod25372685655503482.html,,
,,,,"Orologio Coussin de Cartier, modello medio, movimento al quarzo. Cassa e quadrante in oro bianco 750/1000 ornati di 85 diamanti taglio brillante (0,38 carati), 587 zaffiri, 276 tsavoriti, 45 smeraldi e 18 tormaline. Dimensioni della cassa: 39,3 x 32,0 mm, spessore 13,6 mm. Lancette a forma di gladio d’acciaio finitura oro bianco rodiato 750/100, cinturino in pelle di vitello blu, fibbia ardiglione in oro bianco rodiato 750/1000 ornata di 21 diamanti taglio brillante (0,21 carati). Impermeabile fino a 30 metri.",,,CHF,WJCS0012,71.000,Orologio Coussin de Cartier,,,,https://www.cartier.com/it-ch/orologio-coussin-de-cartier_cod45666037504809344.html,,
,,,,"Orologio La Panthère, 22,2 mm, movimento al quarzo. Cassa in oro giallo 750/1000 ornata di 128 diamanti taglio brillante (1,08 carati), teste di pantera in oro giallo 750/1000, occhi di tsavorite forma poire, macchie e naso in lacca nera, quadrante dorato, lancette a forma di gladio in acciaio azzurrato, vetro zaffiro, cinturino in oro giallo 750/1000. Spessore 7,55 mm. Impermeabile fino a 30 metri.",,,CHF,HPI01441,74.000,Orologi La Panthère de Cartier,,,,https://www.cartier.com/it-ch/orologi-la-panthere-de-cartier_cod1647597276076631.html,,
,,,,"Orologio Baignoire, modello mini, movimento al quarzo. Cassa e corona a dodici lati in oro bianco rodiato 750/1000 ornate di 42 diamanti taglio brillante (0,50 carati). Quadrante effetto soleil argentato. Lancette a forma di gladio d’acciaio azzurrato. Vetro zaffiro. Cinturino in vitello spazzolato nero, fibbia ardiglione 9 mm in oro bianco rodiato 750/1000. Lunghezza: 25,3 mm. Larghezza: 20,79 mm, Spessore: 7,73 mm. Impermeabile fino a 30 metri.",,,CHF,WJBA0026,18.600,Orologio Baignoire,,,,https://www.cartier.com/it-ch/orologio-baignoire_cod1647597284470567.html,,
Aggiungi alla Shopping Bag,,,,"Pendente OM, oro giallo 750/1000.",,,CHF,B3153124,590,Pendente Simboli,,,,https://www.cartier.com/it-ch/pendente-simboli_cod11452292647348921.html,,
Aggiungi alla Shopping Bag,,,,"Bracciale a catena, oro giallo 750/1000.",,,CHF,B6026000,1.200,Bracciale a catena,,,,https://www.cartier.com/it-ch/bracciale-a-catena_cod25458910981581139.html,,
Aggiungi alla Shopping Bag,,,,"Pendente Mano di Fatima, oro giallo 750/1000",,,CHF,B3153113,590,Pendente Simboli,,,,https://www.cartier.com/it-ch/pendente-simboli_cod25458910981456430.html,,
Aggiungi alla Shopping Bag,,,,"Gemelli Santos de Cartier decoro orologio scheletrato in argento massiccio 925/1000 finitura palladio. Dimensioni della testa 15 x 15 x 2,5 mm.",,,CHF,OG000231,540,Gemelli Santos de Cartier,,,,https://www.cartier.com/it-ch/gemelli-santos-de-cartier_cod2009602992396.html,,
,,,,"Orologio Tank MC, movimento meccanico di Manifattura a carica automatica, calibro 1904-PS MC, cassa in acciaio, corona ottagonale in acciaio ornata di uno spinello sintetico, quadrante blu lavorazione flinqué, lancette a forma di gladio d'acciaio finitura rodiata, vetro zaffiro, cinturino d'alligatore blu scuro, fibbia pieghevole a doppia regolazione in acciaio, riserva di carica di 48 ore, datario a finestrella a ore 3, contatore dei piccoli secondi a ore 6, fondocassa in vetro zaffiro, spessore 9,5 mm, impermeabile fino a 30 metri.",,,CHF,WSTA0010,7.150,Orologio Tank MC,,,,https://www.cartier.com/it-ch/orologio-tank-mc_cod25372685655501888.html,,
,,,,"Bracciale Clash de Cartier, modello grande flessibile, oro rosa 750/1000, onice, diamanti",,,,N6723417,,Bracciale Clash de Cartier,,,,https://www.cartier.com/it-ch/bracciale-clash-de-cartier_cod1647597284036281.html,,
,,,,"Orecchini Clash de Cartier, modello grande, oro rosa 750/1000, onice, diamanti.",,,CHF,N8515235,25.400,Orecchini Clash de Cartier,,,,https://www.cartier.com/it-ch/orecchini-clash-de-cartier_cod1647597284036296.html,,
,,,,"Orecchino Clash de Cartier, modello grande, oro bianco rodiato 750/1000, perle di Tahiti, onice, diamanti.",,,CHF,N8515220,25.200,Orecchino Clash de Cartier Modello Grande,,,,https://www.cartier.com/it-ch/orecchino-clash-de-cartier-modello-grande_cod23841192565662859.html,,
,,,,"Collier Clash de Cartier, modello doppia fila, oro rosa 750/1000. Larghezza: 9,2 mm.",,,CHF,N7424463,23.600,Collana Clash de Cartier,,,,https://www.cartier.com/it-ch/collana-clash-de-cartier_cod1647597301578258.html,,
,,,,"Collier Clash de Cartier, modello doppia fila, oro rosa 750/1000. Larghezza: 9,2 mm.",,,CHF,N7424461,23.600,Collana Clash de Cartier,,,,https://www.cartier.com/it-ch/collana-clash-de-cartier_cod1647597301578255.html,,
,,,,"Orologio Rotonde de Cartier Grande Complication Scheletrato, 45 mm, movimento meccanico di Manifattura a carica automatica, calibro 9406 MC, certificato Poinçon de Genève. Cassa in platino 950/1000, corona perlata in platino 950/1000 ornata di uno zaffiro cabochon blu, quadrante in ottone effetto soleil, lancette a forma di pomme, bastone o martello d'acciaio azzurrato. Cinturino d'alligatore nero, fibbia pieghevole a doppia regolazione in oro bianco 750/1000. Complicazione ripetizione minuti, tourbillon volante, calendario perpetuo, scheletrato. Movimento costituito da 578 componenti e 47 rubini. Diametro del movimento 39,3 mm, spessore 5,49 mm (6,72 mm con tourbillon), bilanciere a 21.600 alternanze/ora, riserva di carica di circa 50 ore. Vetro e fondocassa in vetro zaffiro. Spessore 12,57 mm. Impermeabile fino a 30 metri.",,,,W1556251,,Orologio Rotonde de Cartier Grande Complication Scheletrato,,,,https://www.cartier.com/it-ch/orologio-rotonde-de-cartier-grande-complication-scheletrato_cod44733502651459544.html,,
,,,,"Orologio Panthère de Cartier, modello medio, movimento a quarzo. Cassa in oro bianco rodiato 750/1000 ornata di diamanti taglio brillante, dimensioni 27 x 36 mm, spessore 6 mm, corona ornata di un diamante, quadrante argentato, lancette a forma di gladio d'acciaio azzurrato, bracciale in oro bianco rodiato 750/1000, impermeabile fino a 30 metri.",,,CHF,WJPN0007,30.700,Orologio Panthère de Cartier,,,,https://www.cartier.com/it-ch/orologio-panthere-de-cartier_cod44733502651442639.html,,
,,,,"Orologio Pasha de Cartier, 41 mm, tourbillon, scheletrato, movimento meccanico a carica manuale, calibro 9466 MC. Cassa in oro bianco rodiato 750/1000, lunetta, corona scanalata, movimento e fibbia ornati di 180 diamanti taglio brillante (2,95 carati), lancette a forma di losanga d’acciaio azzurrato, due cinturini d’alligatore grigio scuro e nero dotati del sistema d’intercambiabilità QuickSwitch, fibbia pieghevole intercambiabile in oro bianco rodiato 750/1000. Ore, minuti con ponti scheletrati a forma di cifre arabe. Movimento costituito da 278 componenti, tra cui 19 rubini. Diametro 31,63 mm, spessore 5,76 mm, bilanciere a 21.600 alternanze/ora, riserva di carica di circa 50 ore. Diametro della cassa 41 mm, spessore 10,45 mm. Impermeabile fino a 30 metri.",,,CHF,HPI01435,134.000,Orologio Pasha de Cartier,,,,https://www.cartier.com/it-ch/orologio-pasha-de-cartier_cod25372685655516924.html,,
,,,,"Orologio Santos, scheletrato, modello grande, movimento meccanico di Manifattura a carica manuale 9611 MC.  Cassa in acciaio, corona ettagonale ornata di uno zaffiro, lancette a forma di gladio d’acciaio grigio, vetro e fondocassa in vetro zaffiro. Bracciale in acciaio con sistema di regolazione della misura “SmartLink”. Secondo cinturino in caucciù blu scuro, fibbia pieghevole intercambiabile in acciaio. Entrambi i cinturini sono dotati del sistema d’intercambiabilità “QuickSwitch”. Ore, minuti con ponti scheletrati a forma di numeri romani laccati blu. Movimento costituito da 138 componenti, tra cui 20 rubini.   Dimensioni: 28 mm x 28 mm, spessore: 3,97 mm, bilanciere a: 28.800 alternanze/ora, riserva di carica di circa 70 ore.  Larghezza della cassa: 39,8 mm, spessore: 9,08 mm. Impermeabile fino a 100 metri.",,,CHF,WHSA0026,28.300,Orologio Santos de Cartier,,,,https://www.cartier.com/it-ch/orologio-santos-de-cartier_cod1647597296542500.html,,
