Availability,Colors,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
InStock,"Green,Black",Home/Bags for her,"Small handle bag in cherry red calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002324,2.950,"Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/top-handle-bag-small-model-panthere-de-cartier_cod29419655932707054.html,Malta,Bags
InStock,"Green,Pink,Black",Home/Bags for her,"Mini model handle bag in cherry red calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002326,2.560,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707060.html,Malta,Bags
InStock,"Green,Red",Home/Bags for her,"Small handle bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002323,2.950,"Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/top-handle-bag-small-model-panthere-de-cartier_cod29419655932707051.html,Malta,Bags
InStock,"Green,Red,Pink",Home/Bags for her,"Mini model handle bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,€,L1002325,2.560,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/top-handle-bag-mini-model-panthere-de-cartier_cod29419655932707057.html,Malta,Bags
InStock,"Black,Blue,Red,White,Grey",Home/Bags for her,"Mini chain bag in pale yellow calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002362,2.860,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/chain-bag-mini-panthere-de-cartier_cod1647597286075058.html,Malta,Bags
InStock,"Black,Blue,White,Yellow,Grey",Home/Bags for her,"Mini chain bag in red calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002357,2.860,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/chain-bag-mini-panthere-de-cartier_cod1647597286075043.html,Malta,Bags
InStock,"Black,Blue,Red,White,Yellow",Home/Bags for her,"Mini chain bag in beige calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002390,2.860,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/chain-bag-mini-panthere-de-cartier_cod1647597286075085.html,Malta,Bags
InStock,"Black,Blue,Red,White",Home/Bags for her,"Small chain bag in beige calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002389,3.150,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/chain-bag-small-panthere-de-cartier_cod1647597286075082.html,Malta,Bags
InStock,"Black,Blue,Red,White,Grey",Home/Bags for her,"Small chain bag in petrol blue calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002360,3.150,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/chain-bag-small-panthere-de-cartier_cod1647597286075052.html,Malta,Bags
InStock,"Black,Red,White,Blue,Grey",Home/Bags for her,"Small chain bag in navy blue calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482,€,L1002354,3.150,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:34:05.457074,https://www.cartier.com,https://www.cartier.com/en-mt/chain-bag-small-panthere-de-cartier_cod1647597286075034.html,Malta,Bags
