Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
OutOfStock,,,Home/Art of Living/Bags/Bags for Her,"Must de Cartier carnassiere bag, nano model, in burgundy calfskin, signature Cartier medallion. Interior: One signature pocket with removable mirror, one flat pocket with flap. Lining in burgundy lambskin. Dimensions: 190 mm high x 150 mm long x 52 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,MYR,CRL1002241,5050.00,"Carnassière nano model, Must de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/carnassiere-nano-model-must-de-cartier-CRL1002241.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Her,"Mini model chain bag in cherry red calfskin, golden and cherry red enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, six credit card slots, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Removable chain. Dimensions: 120 mm high x 200 mm wide x 35 mm deep. Shoulder and cross-body carry.",,aeid5482,MYR,CRL1002306,10300.00,"Chain bag mini model, Double C de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/chain-bag-mini-model-double-c-de-cartier-CRL1002306.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Her,"Mini model chain bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, six credit card slots, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Removable chain. Dimensions: 120 mm high x 200 mm wide x 35 mm deep. Shoulder and cross-body carry.",,aeid5482,MYR,CRL1002303,10300.00,"Mini model chain bag, Double C de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/mini-model-chain-bag-double-c-de-cartier-CRL1002303.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Her,"Small model chain bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482,MYR,CRL1002305,11800.00,"Chain bag  small model, Double C de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/chain-bag--small-model-double-c-de-cartier-CRL1002305.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Her,"Small model chain bag in cherry red calfskin, golden and cherry red enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482,MYR,CRL1002310,11800.00,"Chain bag small model, Double C de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/chain-bag-small-model-double-c-de-cartier-CRL1002310.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Him,"Must de Cartier anthracite calfskin document holder, small model. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, one zipped pocket. Interior: black fabric lining, one laptop compartment, one zipped pocket, two additional compartments. Embossed silver-colored ""Cartier"" signature. Dimensions: 210 mm high x 350 mm wide x 60 mm deep. Hand and shoulder carry with adjustable and detachable strap.",,aeid5482,MYR,CRL1002314,9700.00,"Document holder small model, Must de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-him/document-holder-small-model-must-de-cartier-CRL1002314.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Her,"Tote Bag, Must de Cartier, in green calfskin, signature Cartier medallion. Interior: Two flat pockets, one zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining in burgundy lambskin. Dimensions: 285 mm high x 310 mm long x 170 mm deep. Two handles for hand or shoulder carry.",,aeid5482,,CRL1002288,,"Tote Bag, Must de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/tote-bag-must-de-cartier-CRL1002288.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Her,"Must de Cartier tote bag in burgundy calfskin, signature Cartier medallion. Interior: Two flat pockets, one zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining in burgundy lambskin. Dimensions: 285 mm high x 310 mm long x 170 mm deep. Two handles for hand or shoulder carry.",,aeid5482,MYR,CRL1002278,8300.00,"Tote Bag, Must de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/tote-bag-must-de-cartier-CRL1002278.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Her,"Must de Cartier hobo bag, small model, in black calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 225 mm high x 220 mm long x 55 mm deep. Adjustable shoulder strap with gold-finish details for straight or across the shoulder carry.",,aeid5482,MYR,CRL1002251,6900.00,"Hobo bag small model, Must de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/hobo-bag-small-model-must-de-cartier-CRL1002251.html,Malaysia,Bags
OutOfStock,,,Home/Art of Living/Bags/Bags for Her,"Must de Cartier hobo bag, mini model, in burgundy calfskin, signature Cartier medallion. Interior: One signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 180 mm high x 175 mm long x 50 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,MYR,CRL1002256,5650.00,"Hobo bag mini model, Must de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-her/hobo-bag-mini-model-must-de-cartier-CRL1002256.html,Malaysia,Bags
InStock,,,Home/Art of Living/Bags/Bags for Him,"Portfolio in burgundy calfskin with detachable wrist strap. Zipped closure, golden-finish metal parts. Exterior: embossed double C logo, flat pocket closed with press stud. Interior: burgundy fabric lining, one flat pocket, one zipped pocket. Embossed golden Cartier marking Dimensions: 260 mm high x 345 mm wide x 20 mm deep. Hand carry.",,aeid5482,MYR,CRL1002265,5050.00,"Portfolio,  Must de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/bags/bags-for-him/portfolio--must-de-cartier-CRL1002265.html,Malaysia,Bags
OutOfStock,,,Home/Art of Living/Personal accessories/Wallets & Pouches,"Wallet bag in red calfskin, golden garland motif. Interior: one zipped compartment, 3 flat pockets, 6 credit card slots, a signature pocket with removable mirror, and golden hot stamped “Cartier” signature. Lining: black calfskin. Dimensions: 190 mm high x 120 mm long x 35 mm deep. Shoulder carry with a detachable chain strap.",,aeid5482,MYR,CRL1002220,5450.00,"Wallet Bag, Guirlande de Cartier",aeid5482_cartier,2022-11-03 19:06:05.705031,https://www.cartier.com,https://www.cartier.com/en-my/art-of-living/personal-accessories/wallets-%26-pouches/wallet-bag-guirlande-de-cartier-CRL1002220.html,Malaysia,Personal accessories
