Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
InStock,,,,"Mini chain bag in navy blue calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 5.5” high x 7.9” wide x 3.3” deep. Shoulder and cross-body carry.",,aeid5482,AED,CRL1002355,10800.00,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/chain-bag-mini-panthere-de-cartier-CRL1002355.html,UAE,bags
InStock,,,,"Mini model chain bag in cherry red calfskin, golden and cherry red enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, six credit card slots, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Removable chain. Dimensions: 120 mm high x 200 mm wide x 35 mm deep. Shoulder and cross-body carry.",,aeid5482,AED,CRL1002306,9500.00,"Chain bag mini model, Double C de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/chain-bag-mini-model-double-c-de-cartier-CRL1002306.html,UAE,bags
InStock,,,,"Tote Bag, Must de Cartier,  in green calfskin, signature Cartier medallion. Interior: Two flat pockets, one zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining in burgundy lambskin. Dimensions: 285 mm high x 310 mm long x 170 mm deep. Two handles for hand or shoulder carry.",,aeid5482,AED,CRL1002288,7650.00,"Tote Bag, Must de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/tote-bag-must-de-cartier-CRL1002288.html,UAE,bags
InStock,,,,"Small handle bag in dark green calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,AED,CRL1002330,11600.00,"Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/top-handle-bag-small-model-panthere-de-cartier-CRL1002330.html,UAE,bags
OutOfStock,,,,"Small handle bag in beige calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 7.1” high x 8.3” wide x 3.5” deep. Hand and cross-body carry.",,aeid5482,AED,CRL1002391,11600.00,"Small handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/small-handle-bag-panthere-de-cartier-CRL1002391.html,UAE,bags
InStock,,,,"Mini Shoulder bag in black calfskin, gold and black enamel-finish clasp, golden hot stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 160 mm high x 190 mm wide x 70 mm deep. Shoulder and cross-body carry.",,aeid5482,AED,CRL1002289,9100.00,"Shoulder Bag, Mini, Double C de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/shoulder-bag-mini-double-c-de-cartier-CRL1002289.html,UAE,bags
InStock,,,,"Mini chain bag in petrol blue calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 5.5” high x 7.9” wide x 3.3” deep. Shoulder and cross-body carry.",,aeid5482,AED,CRL1002361,10800.00,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/chain-bag-mini-panthere-de-cartier-CRL1002361.html,UAE,bags
InStock,,,,"Mini model handle bag in dark green calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,AED,CRL1002327,10100.00,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/top-handle-bag-mini-model-panthere-de-cartier-CRL1002327.html,UAE,bags
InStock,,,,"Mini shoulder bag in cherry red calfskin, gold and cherry red enamel-finish clasp, golden hot stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 160 mm high x 190 mm wide x 70 mm deep. Shoulder and cross-body carry.",,aeid5482,AED,CRL1002293,9100.00,"Shoulder Bag, Mini, Double C de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/shoulder-bag-mini-double-c-de-cartier-CRL1002293.html,UAE,bags
InStock,,,,"Mini chain bag in black calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 5.5” high x 7.9” wide x 3.3” deep. Shoulder and cross-body carry.",,aeid5482,AED,CRL1002353,10800.00,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 12:25:41.183259,https://www.cartier.com,https://www.cartier.com/en-ae/art-of-living/bags/bags-for-her/chain-bag-mini-panthere-de-cartier-CRL1002353.html,UAE,bags
